[[283 277]
 [245 299]
 [339 464]
 [377 442]]
[[527 296]
 [507 241]
 [317 308]
 [337 364]]
[[551 242]
 [518 274]
 [640 401]
 [673 370]]
[[307 177]
 [334 211]
 [477  96]
 [450  62]]
[[550  83]
 [554  30]
 [362  16]
 [359  70]]
[[371 125]
 [373  85]
 [185  74]
 [182 113]]
[[249 222]
 [281 175]
 [127  69]
 [ 95 117]]
[[261 301]
 [287 259]
 [145 170]
 [119 213]]
[[166 413]
 [190 382]
 [ 92 306]
 [ 69 337]]
[[667 311]
 [712 301]
 [669 113]
 [624 124]]
[[593 142]
 [625 141]
 [624   2]
 [591   2]]
[[108  15]
 [ 86  47]
 [197 127]
 [220  95]]
